"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit/MicroGM-PER-M3-K","Microgram per Cubic Meter Kelvin","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H-1T0D0",1e-09,"0.000000001-fold of the SI base unit kilogram divided by the product of the power of the SI base unit metre with the exponent 3 and the SI base unit Kelvin",NA
"http://qudt.org/vocab/unit/MicroGM-PER-MilliGM","Microgram pe Milligram","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,"mass ratio as 0.000000001-fold of the SI base unit kilogram divided by 0.000001-fold of SI base unit kilogram",NA
"http://qudt.org/vocab/unit/MicroGM-PER-MilliL","Microgram per Milliliter","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.001,NA,NA
"http://qudt.org/vocab/unit/MicroGRAY","Microgray","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",1e-06,"0.000001 fold of the SI unit of radiation dose. Radiation carries energy, and when it is absorbed by matter the matter receives this energy. The dose is the amount of energy deposited per unit of mass. One gray is defined to be the dose of one joule of energy absorbed per kilogram of matter, or 100 rad. The unit is named for the British physician L. Harold Gray (1905-1965), an authority on the use of radiation in the treatment of cancer.",NA
"http://qudt.org/vocab/unit/MicroGRAY-PER-HR","Microgray per Hour","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",2.7777777e-10,"0.000001-fold of the SI derived unit gray divided by the unit hour",NA
"http://qudt.org/vocab/unit/MicroGRAY-PER-MIN","Microgray per Minute","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",1.666666666e-08,"0.000001-fold of the SI derived unit gray divided by the unit minute",NA
"http://qudt.org/vocab/unit/MicroGRAY-PER-SEC","Microgray per Saniye","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",1e-06,"0.000001-fold of the SI derived unit gray divided by the SI base unit second",NA
"http://qudt.org/vocab/unit/MicroH","Microhenrio","http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-2D0",1e-06,"The SI derived unit for inductance is the henry. 1 henry is equal to 1000000 microhenry.",NA
"http://qudt.org/vocab/unit/MicroH-PER-KiloOHM","Microhenry na Kiloohm","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",1e-09,"0.000001-fold of the SI derived unit henry divided by the 1,000-fold of the SI derived unit ohm",NA
"http://qudt.org/vocab/unit/MicroH-PER-M","Microhenry per Meter","http://qudt.org/vocab/dimensionvector/A0E-2L1I0M1H0T-2D0",1e-06,"0.000001-fold of the SI derived unit henry divided by the SI base unit metre",NA
