"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/BQ","Bq"
"http://qudt.org/vocab/unit/BQ-PER-KiloGM","Bq.kg-1"
"http://qudt.org/vocab/unit/BQ-PER-L","Bq.L-1"
"http://qudt.org/vocab/unit/BQ-PER-M2","Bq.m-2"
"http://qudt.org/vocab/unit/BQ-PER-M3","Bq.m-3"
"http://qudt.org/vocab/unit/BQ-SEC-PER-M3","Bq.s.m-3"
"http://qudt.org/vocab/unit/BREATH",NA
"http://qudt.org/vocab/unit/BREATH-PER-MIN","min-1{breath}"
"http://qudt.org/vocab/unit/BREWSTER",NA
"http://qudt.org/vocab/unit/BTU_39DEG_F",NA
"http://qudt.org/vocab/unit/BTU_59DEG_F",NA
"http://qudt.org/vocab/unit/BTU_60DEG_F",NA
"http://qudt.org/vocab/unit/BTU_IT","[Btu_IT]"
"http://qudt.org/vocab/unit/BTU_IT-FT","[Btu_IT].[ft_i]"
"http://qudt.org/vocab/unit/BTU_IT-FT-PER-FT2-HR-DEG_F","[Btu_IT].[ft_i].[ft_i]-2.h-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-IN","[Btu_IT].[in_i]"
"http://qudt.org/vocab/unit/BTU_IT-IN-PER-FT2-HR-DEG_F","[Btu_IT].[in_i].[ft_i]-2.h-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-IN-PER-FT2-SEC-DEG_F","[Btu_IT].[in_i].[ft_i]-2.s-1.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-IN-PER-HR-FT2-DEG_F","[Btu_IT].[in_i].h-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-IN-PER-SEC-FT2-DEG_F","[Btu_IT].[in_i].s-1.[ft_i]-2.[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F","[Btu_IT].[degF]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R","[Btu_IT].[degR]-1"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT2","[Btu_IT].[ft_i]-2"
"http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR","[Btu_IT].[ft_i]-2.h-1"
