"pseudounit","unit","GroupTotalUses","unit.1","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"dimensionless","dimensionless",72533,"dimensionless",33,3078,25267,1,1,480,46786,"EDI NEON DataOne",3,34,3079,72533
"number","number",32033,"number",30,2444,20597,15,59,422,11006,"EDI NEON DataOne",3,45,2503,32025
"number","number",32033,"number",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"number","numbers",32033,"numbers",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meterpersecond","meters per second",32026,"meters per second",6,54,74,0,0,0,26349,"EDI DataOne",2,6,54,26423
"meterpersecond","meterpersecond",32026,"meterpersecond",15,273,2085,0,0,0,0,"EDI",1,15,273,2085
"meterpersecond","meterspersecond",32026,"meterspersecond",23,313,2037,0,0,0,0,"EDI",1,23,313,2037
"meterpersecond","meterspersecond",32026,"meterspersecond",0,0,0,4,4,73,1159,"NEON DataOne",2,4,4,1232
"meterpersecond","meterpersecond",32026,"meterpersecond",0,0,0,0,0,0,202,"DataOne",1,0,0,202
"meterpersecond","meterpersecond",32026,"meterpersecond",0,0,0,0,0,0,24,"DataOne",1,0,0,24
"meterpersecond","meters/second",32026,"meters/second",0,0,0,0,0,0,17,"DataOne",1,0,0,17
"meterpersecond","meters per second",32026,"meters per second",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"percent","percent",27715,"percent",26,1607,11333,16,56,11299,3912,"EDI NEON DataOne",3,42,1663,26544
"percent","percentage",27715,"percentage",7,27,257,0,0,0,263,"EDI DataOne",2,7,27,520
"percent","percentage",27715,"percentage",0,0,0,0,0,0,279,"DataOne",1,0,0,279
"percent","%",27715,"%",4,12,24,0,0,0,166,"EDI DataOne",2,4,12,190
"percent","percent",27715,"percent",0,0,0,0,0,0,182,"DataOne",1,0,0,182
"celsius","celsius",21380,"celsius",33,2134,14196,10,28,733,6389,"EDI NEON DataOne",3,43,2162,21318
"celsius","celsius",21380,"celsius",0,0,0,0,0,0,62,"DataOne",1,0,0,62
"meter","meter",13131,"meter",31,2294,7800,20,67,448,3418,"EDI NEON DataOne",3,51,2361,11666
"meter","meters",13131,"meters",5,52,268,0,0,0,1149,"EDI DataOne",2,5,52,1417
"meter","meters",13131,"meters",0,0,0,0,0,0,46,"DataOne",1,0,0,46
"meter","meter",13131,"meter",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"millimeter","millimeter",9903,"millimeter",32,1040,3549,6,6,26,5964,"EDI NEON DataOne",3,38,1046,9539
"millimeter","millimeters",9903,"millimeters",5,22,101,0,0,0,100,"EDI DataOne",2,5,22,201
"millimeter","mm",9903,"mm",3,16,93,0,0,0,53,"EDI DataOne",2,3,16,146
"millimeter","mm",9903,"mm",0,0,0,0,0,0,10,"DataOne",1,0,0,10
"millimeter","millimeters",9903,"millimeters",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"millimeter","mm",9903,"mm",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"millimeter","millimeter",9903,"millimeter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"degree","degree",8848,"degree",30,1817,5467,7,10,39,2753,"EDI NEON DataOne",3,37,1827,8259
"degree","degrees",8848,"degrees",5,122,270,0,0,0,314,"EDI DataOne",2,5,122,584
"degree","degrees",8848,"degrees",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"degree","degree",8848,"degree",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"centimeter","centimeter",7093,"centimeter",29,1350,4465,8,11,56,2059,"EDI NEON DataOne",3,37,1361,6580
"centimeter","centimeters",7093,"centimeters",4,46,237,0,0,0,87,"EDI DataOne",2,4,46,324
"centimeter","cm",7093,"cm",1,33,92,0,0,0,83,"EDI DataOne",2,1,33,175
"centimeter","cm.",7093,"cm.",1,2,6,0,0,0,2,"EDI DataOne",2,1,2,8
"centimeter","centimeters",7093,"centimeters",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"centimeter","cm",7093,"cm",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligramperliter","milligramsperliter",5251,"milligramsperliter",22,383,2354,0,0,0,0,"EDI",1,22,383,2354
"milligramperliter","milligramperliter",5251,"milligramperliter",15,271,1195,0,0,0,0,"EDI",1,15,271,1195
"milligramperliter","milligramsperliter",5251,"milligramsperliter",0,0,0,4,12,19,1006,"NEON DataOne",2,4,12,1025
"milligramperliter","milligramperliter",5251,"milligramperliter",0,0,0,0,0,0,423,"DataOne",1,0,0,423
"milligramperliter","milligrams per liter",5251,"milligrams per liter",2,7,148,0,0,0,26,"EDI DataOne",2,2,7,174
"milligramperliter","milligrams / liter",5251,"milligrams / liter",5,61,61,0,0,0,0,"EDI",1,5,61,61
"milligramperliter","milligramsperliter",5251,"milligramsperliter",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"milligramperliter","milligramperliter",5251,"milligramperliter",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"milligramperliter","milligram/liter",5251,"milligram/liter",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"milligramperliter","milligrams/liter",5251,"milligrams/liter",1,2,2,0,0,0,0,"EDI",1,1,2,2
"milligramperliter","milligram per liter",5251,"milligram per liter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"none","none",5233,"none",17,1282,4836,9,12,72,299,"EDI NEON DataOne",3,26,1294,5207
"none","none",5233,"none",0,0,0,0,0,0,23,"DataOne",1,0,0,23
"none","none",5233,"none",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"gram","gram",4693,"gram",27,777,2814,10,19,31,1554,"EDI NEON DataOne",3,37,796,4399
"gram","grams",4693,"grams",5,29,74,0,0,0,111,"EDI DataOne",2,5,29,185
"gram","g",4693,"g",3,18,33,0,0,0,34,"EDI DataOne",2,3,18,67
"gram","g",4693,"g",0,0,0,0,0,0,22,"DataOne",1,0,0,22
"gram","gm",4693,"gm",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"gram","g.",4693,"g.",1,1,6,0,0,0,1,"EDI DataOne",2,1,1,7
"gram","grams",4693,"grams",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"grampermeterquared","grampermetersquared",4113,"grampermetersquared",13,171,3535,0,0,0,0,"EDI",1,13,171,3535
"grampermeterquared","grampermetersquared",4113,"grampermetersquared",0,0,0,0,0,0,409,"DataOne",1,0,0,409
"grampermeterquared","gramspermetersquared",4113,"gramspermetersquared",0,0,0,0,0,0,105,"DataOne",1,0,0,105
"grampermeterquared","gramspermetersquared",4113,"gramspermetersquared",5,46,64,0,0,0,0,"EDI",1,5,46,64
"nominalyear","nominalyear",2893,"nominalyear",17,1204,2105,0,0,0,0,"EDI",1,17,1204,2105
"nominalyear","nominalyear",2893,"nominalyear",0,0,0,0,0,0,788,"DataOne",1,0,0,788
"wattpermeterquared","wattpermetersquared",2782,"wattpermetersquared",17,174,2354,0,0,0,0,"EDI",1,17,174,2354
"wattpermeterquared","wattpermetersquared",2782,"wattpermetersquared",0,0,0,0,0,0,428,"DataOne",1,0,0,428
"microgramperliter","microgramsperliter",2699,"microgramsperliter",18,191,896,0,0,0,0,"EDI",1,18,191,896
"microgramperliter","microgramperliter",2699,"microgramperliter",13,143,716,0,0,0,0,"EDI",1,13,143,716
"microgramperliter","microgramsperliter",2699,"microgramsperliter",0,0,0,1,1,6,503,"NEON DataOne",2,1,1,509
"microgramperliter","microgramperliter",2699,"microgramperliter",0,0,0,0,0,0,430,"DataOne",1,0,0,430
"microgramperliter","micrograms per liter",2699,"micrograms per liter",3,18,18,0,0,0,67,"EDI DataOne",2,3,18,85
"microgramperliter","microgramsperliter",2699,"microgramsperliter",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"microgramperliter","microgram/liter",2699,"microgram/liter",0,0,0,0,0,0,10,"DataOne",1,0,0,10
"microgramperliter","micrograms / liter",2699,"micrograms / liter",4,9,9,0,0,0,0,"EDI",1,4,9,9
"microgramperliter","ug/l",2699,"ug/l",3,4,7,0,0,0,1,"EDI DataOne",2,3,4,8
"microgramperliter","ug/l",2699,"ug/l",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"microgramperliter","microgramperliter",2699,"microgramperliter",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"microgramperliter","microgramsperliter",2699,"microgramsperliter",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"microgramperliter","micrograms/liter",2699,"micrograms/liter",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"microgramperliter","micrograms/l",2699,"micrograms/l",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgramperliter","microgram per liter",2699,"microgram per liter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgramperliter","microgram per l",2699,"microgram per l",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"grampermeterquaredperday","grampermetersquaredperday",2508,"grampermetersquaredperday",5,37,2399,0,0,0,0,"EDI",1,5,37,2399
"grampermeterquaredperday","grampermetersquaredperday",2508,"grampermetersquaredperday",0,0,0,0,0,0,92,"DataOne",1,0,0,92
"grampermeterquaredperday","gramspermetersquaredperday",2508,"gramspermetersquaredperday",0,0,0,0,0,0,10,"DataOne",1,0,0,10
"grampermeterquaredperday","gramspermetersquaredperday",2508,"gramspermetersquaredperday",3,4,7,0,0,0,0,"EDI",1,3,4,7
"micromoleperliter","micromoleperliter",2454,"micromoleperliter",16,239,1467,0,0,0,0,"EDI",1,16,239,1467
"micromoleperliter","micromoleperliter",2454,"micromoleperliter",0,0,0,0,0,0,417,"DataOne",1,0,0,417
"micromoleperliter","micromolesperliter",2454,"micromolesperliter",10,53,270,0,0,0,0,"EDI",1,10,53,270
"micromoleperliter","micromolesperliter",2454,"micromolesperliter",0,0,0,0,0,0,132,"DataOne",1,0,0,132
"micromoleperliter","micromolesperliter",2454,"micromolesperliter",0,0,0,1,1,6,74,"NEON DataOne",2,1,1,80
"micromoleperliter","micromoleperliter",2454,"micromoleperliter",0,0,0,0,0,0,60,"DataOne",1,0,0,60
"micromoleperliter","micromoles/liter",2454,"micromoles/liter",1,1,10,0,0,0,0,"EDI",1,1,1,10
"micromoleperliter","micromole per liter",2454,"micromole per liter",2,6,6,0,0,0,0,"EDI",1,2,6,6
"micromoleperliter","umol/l",2454,"umol/l",2,2,5,0,0,0,0,"EDI",1,2,2,5
"micromoleperliter","micromoles per liter",2454,"micromoles per liter",3,4,4,0,0,0,0,"EDI",1,3,4,4
"micromoleperliter","umol/l",2454,"umol/l",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromoleperliter","micro moles per liter",2454,"micro moles per liter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"micromoleperliter","micro mole per liter",2454,"micro mole per liter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"nominalday","nominalday",2249,"nominalday",18,886,1497,0,0,0,0,"EDI",1,18,886,1497
"nominalday","nominalday",2249,"nominalday",0,0,0,5,7,7,745,"NEON DataOne",2,5,7,752
"micromolepermeterquaredpersecond","micromolepermetersquaredpersecond",2225,"micromolepermetersquaredpersecond",18,250,1634,0,0,0,0,"EDI",1,18,250,1634
"micromolepermeterquaredpersecond","micromolepermetersquaredpersecond",2225,"micromolepermetersquaredpersecond",0,0,0,0,0,0,549,"DataOne",1,0,0,549
"micromolepermeterquaredpersecond","micromolespermetersquaredpersecond",2225,"micromolespermetersquaredpersecond",6,9,33,0,0,0,0,"EDI",1,6,9,33
"micromolepermeterquaredpersecond","micromolespermetersquaredpersecond",2225,"micromolespermetersquaredpersecond",0,0,0,0,0,0,8,"DataOne",1,0,0,8
"micromolepermeterquaredpersecond","micromolespermetersquaredpersecond",2225,"micromolespermetersquaredpersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"hectare","hectare",1963,"hectare",12,96,1636,0,0,0,264,"EDI DataOne",2,12,96,1900
"hectare","hectares",1963,"hectares",3,12,12,0,0,0,19,"EDI DataOne",2,3,12,31
"hectare","ha",1963,"ha",1,1,14,0,0,0,14,"EDI DataOne",2,1,1,28
"hectare","hectares",1963,"hectares",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"volt","volt",1937,"volt",23,355,1023,1,1,4,901,"EDI NEON DataOne",3,24,356,1928
"volt","volts",1937,"volts",2,2,2,0,0,0,2,"EDI DataOne",2,2,2,4
"volt","volts",1937,"volts",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"volt","v",1937,"v",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"kilogrampercubicmeter","kilogrampercubicmeter",1800,"kilogrampercubicmeter",8,315,1373,0,0,0,0,"EDI",1,8,315,1373
"kilogrampercubicmeter","kilogrampercubicmeter",1800,"kilogrampercubicmeter",0,0,0,0,0,0,406,"DataOne",1,0,0,406
"kilogrampercubicmeter","kilogramspercubicmeter",1800,"kilogramspercubicmeter",2,2,9,0,0,0,0,"EDI",1,2,2,9
"kilogrampercubicmeter","kilograms per cubic meter",1800,"kilograms per cubic meter",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"kilogrampercubicmeter","kilogram per cubic meter",1800,"kilogram per cubic meter",2,4,4,0,0,0,0,"EDI",1,2,4,4
"kilogrampercubicmeter","kilogramspercubicmeters",1800,"kilogramspercubicmeters",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogrampercubicmeter","kilogramspercubicmeter",1800,"kilogramspercubicmeter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"decibar","decibar",1749,"decibar",9,307,1342,0,0,0,403,"EDI DataOne",2,9,307,1745
"decibar","db",1749,"db",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"decibar","db",1749,"db",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"siemenspermeter","siemenspermeter",1687,"siemenspermeter",5,370,1331,0,0,0,0,"EDI",1,5,370,1331
"siemenspermeter","siemenspermeter",1687,"siemenspermeter",0,0,0,0,0,0,356,"DataOne",1,0,0,356
"partpermillion","partspermillion",1454,"partspermillion",15,69,475,0,0,0,0,"EDI",1,15,69,475
"partpermillion","parts per million",1454,"parts per million",6,15,66,0,0,0,262,"EDI DataOne",2,6,15,328
"partpermillion","partspermillion",1454,"partspermillion",0,0,0,1,1,150,118,"NEON DataOne",2,1,1,268
"partpermillion","ppm",1454,"ppm",5,18,152,0,0,0,40,"EDI DataOne",2,5,18,192
"partpermillion","partpermillion",1454,"partpermillion",6,49,143,0,0,0,0,"EDI",1,6,49,143
"partpermillion","parts per million",1454,"parts per million",0,0,0,0,0,0,32,"DataOne",1,0,0,32
"partpermillion","part per million",1454,"part per million",1,1,11,0,0,0,0,"EDI",1,1,1,11
"partpermillion","partpermillion",1454,"partpermillion",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"grampersquaremeter","gramspersquaremeter",1378,"gramspersquaremeter",20,221,910,0,0,0,0,"EDI",1,20,221,910
"grampersquaremeter","gramspersquaremeter",1378,"gramspersquaremeter",0,0,0,3,3,6,424,"NEON DataOne",2,3,3,430
"grampersquaremeter","grams per square meter",1378,"grams per square meter",9,35,36,0,0,0,2,"EDI DataOne",2,9,35,38
"nominalmonth","nominalmonth",1183,"nominalmonth",5,593,883,0,0,0,0,"EDI",1,5,593,883
"nominalmonth","nominalmonth",1183,"nominalmonth",0,0,0,0,0,0,299,"DataOne",1,0,0,299
"nominalmonth","nominal month",1183,"nominal month",1,1,1,0,0,0,0,"EDI",1,1,1,1
"numberpermeterquared","numberpermetersquared",1163,"numberpermetersquared",20,151,838,0,0,0,0,"EDI",1,20,151,838
"numberpermeterquared","numberpermetersquared",1163,"numberpermetersquared",0,0,0,0,0,0,325,"DataOne",1,0,0,325
"decimaldegree","decimal degrees",1074,"decimal degrees",3,7,18,0,0,0,477,"EDI DataOne",2,3,7,495
"decimaldegree","decimal degrees",1074,"decimal degrees",0,0,0,0,0,0,208,"DataOne",1,0,0,208
"decimaldegree","decimaldegree",1074,"decimaldegree",0,0,0,17,56,148,0,"NEON",1,17,56,148
"decimaldegree","decimaldegree",1074,"decimaldegree",4,27,62,0,0,0,0,"EDI",1,4,27,62
"decimaldegree","decimal degree",1074,"decimal degree",2,15,37,0,0,0,20,"EDI DataOne",2,2,15,57
"decimaldegree","decimal degrees",1074,"decimal degrees",0,0,0,0,0,0,54,"DataOne",1,0,0,54
"decimaldegree","decimaldegrees",1074,"decimaldegrees",4,20,50,0,0,0,0,"EDI",1,4,20,50
"kilogramperhectare","kilogramsperhectare",1059,"kilogramsperhectare",7,41,671,0,0,0,0,"EDI",1,7,41,671
"kilogramperhectare","kilogramsperhectare",1059,"kilogramsperhectare",0,0,0,0,0,0,253,"DataOne",1,0,0,253
"kilogramperhectare","kilograms per hectare",1059,"kilograms per hectare",4,6,70,0,0,0,0,"EDI",1,4,6,70
"kilogramperhectare","kilogramperhectare",1059,"kilogramperhectare",6,8,43,0,0,0,0,"EDI",1,6,8,43
"kilogramperhectare","kilogramperhectare",1059,"kilogramperhectare",0,0,0,0,0,0,17,"DataOne",1,0,0,17
"kilogramperhectare","kg/ha",1059,"kg/ha",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"kilogramperhectare","kg/ha",1059,"kg/ha",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilogramperhectare","kilogram per hectare",1059,"kilogram per hectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"hour","hour",1059,"hour",17,458,496,3,3,3,528,"EDI NEON DataOne",3,20,461,1027
"hour","hours",1059,"hours",3,3,10,0,0,0,9,"EDI DataOne",2,3,3,19
"hour","hour",1059,"hour",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"hour","h",1059,"h",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"hour","hr",1059,"hr",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"hour","hours",1059,"hours",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"hour","h",1059,"h",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"hour","hr",1059,"hr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"degreecelsius","degrees celsius",1058,"degrees celsius",0,0,0,0,0,0,943,"DataOne",1,0,0,943
"degreecelsius","degrees celsius",1058,"degrees celsius",1,10,56,0,0,0,1,"EDI DataOne",2,1,10,57
"degreecelsius","degreecelsius",1058,"degreecelsius",2,12,31,0,0,0,0,"EDI",1,2,12,31
"degreecelsius","degrees celsius",1058,"degrees celsius",0,0,0,0,0,0,15,"DataOne",1,0,0,15
"degreecelsius","degreecelsius",1058,"degreecelsius",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"degreecelsius","degreescelsius",1058,"degreescelsius",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"degreecelsius","degreescelsius",1058,"degreescelsius",1,1,2,0,0,0,0,"EDI",1,1,1,2
"degreecelsius","degree celsius",1058,"degree celsius",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"degreecelcius","degreecelcius",1019,"degreecelcius",1,196,968,0,0,0,0,"EDI",1,1,196,968
"degreecelcius","degrees celcius",1019,"degrees celcius",1,11,27,0,0,0,3,"EDI DataOne",2,1,11,30
"degreecelcius","degrees celcius",1019,"degrees celcius",0,0,0,0,0,0,13,"DataOne",1,0,0,13
"degreecelcius","degrees celcius",1019,"degrees celcius",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"degreecelcius","degrees celcius",1019,"degrees celcius",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilopascal","kilopascal",984,"kilopascal",19,161,753,5,5,36,189,"EDI NEON DataOne",3,24,166,978
"kilopascal","kilopascals",984,"kilopascals",2,2,4,0,0,0,0,"EDI",1,2,2,4
"kilopascal","kilopascal",984,"kilopascal",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilopascal","kilopascals",984,"kilopascals",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"cubicmeterpercubicmeter","cubicmeterpercubicmeter",955,"cubicmeterpercubicmeter",3,80,895,0,0,0,0,"EDI",1,3,80,895
"cubicmeterpercubicmeter","cubicmeterspercubicmeters",955,"cubicmeterspercubicmeters",0,0,0,0,0,0,41,"DataOne",1,0,0,41
"cubicmeterpercubicmeter","cubicmeterspercubicmeters",955,"cubicmeterspercubicmeters",1,2,6,0,0,0,0,"EDI",1,1,2,6
"cubicmeterpercubicmeter","cubicmeterpercubicmeter",955,"cubicmeterpercubicmeter",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"cubicmeterpercubicmeter","cubicmeterspercubicmeter",955,"cubicmeterspercubicmeter",0,0,0,0,0,0,4,"DataOne",1,0,0,4
"cubicmeterpercubicmeter","cubicmeterspercubicmeter",955,"cubicmeterspercubicmeter",1,1,3,0,0,0,0,"EDI",1,1,1,3
"cubicmeterpercubicmeter","cubic meters per cubic meter",955,"cubic meters per cubic meter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampermeterquaredperyear","grampermetersquaredperyear",954,"grampermetersquaredperyear",8,21,311,0,0,0,0,"EDI",1,8,21,311
"grampermeterquaredperyear","gramspermetersquaredperyear",954,"gramspermetersquaredperyear",8,153,269,0,0,0,0,"EDI",1,8,153,269
"grampermeterquaredperyear","gramspermetersquaredperyear",954,"gramspermetersquaredperyear",0,0,0,0,0,0,269,"DataOne",1,0,0,269
"grampermeterquaredperyear","grampermetersquaredperyear",954,"grampermetersquaredperyear",0,0,0,0,0,0,105,"DataOne",1,0,0,105
"unitless","unitless",903,"unitless",5,25,147,0,0,0,738,"EDI DataOne",2,5,25,885
"unitless","unitless",903,"unitless",0,0,0,0,0,0,15,"DataOne",1,0,0,15
"unitless","unit less",903,"unit less",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"squaremeter","squaremeter",893,"squaremeter",20,252,475,0,0,0,0,"EDI",1,20,252,475
"squaremeter","squaremeter",893,"squaremeter",0,0,0,6,14,15,334,"NEON DataOne",2,6,14,349
"squaremeter","square meters",893,"square meters",5,16,21,0,0,0,40,"EDI DataOne",2,5,16,61
"squaremeter","square meter",893,"square meter",1,1,1,0,0,0,4,"EDI DataOne",2,1,1,5
"squaremeter","square meters",893,"square meters",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"squaremeter","squaremeters",893,"squaremeters",1,1,1,0,0,0,0,"EDI",1,1,1,1
"count","count",886,"count",9,58,401,0,0,0,469,"EDI DataOne",2,9,58,870
"count","count",886,"count",0,0,0,0,0,0,16,"DataOne",1,0,0,16
"second","second",869,"second",14,53,154,2,2,3,605,"EDI NEON DataOne",3,16,55,762
"second","seconds",869,"seconds",3,7,12,0,0,0,53,"EDI DataOne",2,3,7,65
"second","s",869,"s",0,0,0,0,0,0,28,"DataOne",1,0,0,28
"second","seconds",869,"seconds",0,0,0,0,0,0,9,"DataOne",1,0,0,9
"second","second",869,"second",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"microgrampergram","microgramspergram",860,"microgramspergram",18,88,359,0,0,0,0,"EDI",1,18,88,359
"microgrampergram","microgrampergram",860,"microgrampergram",13,54,289,0,0,0,0,"EDI",1,13,54,289
"microgrampergram","microgramspergram",860,"microgramspergram",0,0,0,0,0,0,108,"DataOne",1,0,0,108
"microgrampergram","microgrampergram",860,"microgrampergram",0,0,0,0,0,0,85,"DataOne",1,0,0,85
"microgrampergram","micrograms per gram",860,"micrograms per gram",5,13,13,0,0,0,0,"EDI",1,5,13,13
"microgrampergram","ug/g",860,"ug/g",3,5,5,0,0,0,1,"EDI DataOne",2,3,5,6
"percentabbr.","percentabbr.",850,"percentabbr.",1,95,709,0,0,0,141,"EDI DataOne",2,1,95,850
"year","year",831,"year",11,76,154,0,0,0,484,"EDI DataOne",2,11,76,638
"year","years",831,"years",6,14,54,0,0,0,35,"EDI DataOne",2,6,14,89
"year","y",831,"y",0,0,0,0,0,0,58,"DataOne",1,0,0,58
"year","years",831,"years",0,0,0,0,0,0,24,"DataOne",1,0,0,24
"year","year",831,"year",0,0,0,0,0,0,18,"DataOne",1,0,0,18
"year","y",831,"y",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"year","yr",831,"yr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"year","years",831,"years",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"fraction","fraction",811,"fraction",4,20,453,0,0,0,358,"EDI DataOne",2,4,20,811
"degc","degc",805,"degc",1,22,679,0,0,0,0,"EDI",1,1,22,679
"degc","degc",805,"degc",0,0,0,0,0,0,126,"DataOne",1,0,0,126
"decisiemenspermeter","decisiemenspermeter",782,"decisiemenspermeter",2,85,731,0,0,0,0,"EDI",1,2,85,731
"decisiemenspermeter","decisiemenspermeter",782,"decisiemenspermeter",0,0,0,0,0,0,47,"DataOne",1,0,0,47
"decisiemenspermeter","decisiemenspermeter",782,"decisiemenspermeter",0,0,0,2,2,4,0,"NEON",1,2,2,4
"milligrampergram","milligrampergram",762,"milligrampergram",10,49,343,0,0,0,0,"EDI",1,10,49,343
"milligrampergram","milligramspergram",762,"milligramspergram",11,53,203,0,0,0,1,"EDI DataOne",2,11,53,204
"milligrampergram","milligramspergram",762,"milligramspergram",0,0,0,0,0,0,118,"DataOne",1,0,0,118
"milligrampergram","milligrampergram",762,"milligrampergram",0,0,0,0,0,0,61,"DataOne",1,0,0,61
"milligrampergram","milligrams per gram",762,"milligrams per gram",4,19,19,0,0,0,0,"EDI",1,4,19,19
"milligrampergram","milligramspergrams",762,"milligramspergrams",1,3,13,0,0,0,0,"EDI",1,1,3,13
"milligrampergram","milligramspergrams",762,"milligramspergrams",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"milligrampergram","milligram per gram",762,"milligram per gram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"milligrampergram","milligramspergrams",762,"milligramspergrams",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"day","day",753,"day",17,78,116,1,1,1,474,"EDI NEON DataOne",3,18,79,591
"day","days",753,"days",6,16,30,0,0,0,79,"EDI DataOne",2,6,16,109
"day","days",753,"days",0,0,0,0,0,0,21,"DataOne",1,0,0,21
"day","d",753,"d",0,0,0,0,0,0,15,"DataOne",1,0,0,15
"day","day",753,"day",0,0,0,0,0,0,15,"DataOne",1,0,0,15
"day","d",753,"d",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"milligramperkilogram","milligramperkilogram",697,"milligramperkilogram",12,48,244,0,0,0,0,"EDI",1,12,48,244
"milligramperkilogram","milligramsperkilogram",697,"milligramsperkilogram",7,74,205,0,0,0,0,"EDI",1,7,74,205
"milligramperkilogram","milligramsperkilogram",697,"milligramsperkilogram",0,0,0,2,2,21,160,"NEON DataOne",2,2,2,181
"milligramperkilogram","milligramperkilogram",697,"milligramperkilogram",0,0,0,0,0,0,37,"DataOne",1,0,0,37
"milligramperkilogram","milligramsperkilogram",697,"milligramsperkilogram",0,0,0,0,0,0,16,"DataOne",1,0,0,16
"milligramperkilogram","milligrams per kilogram",697,"milligrams per kilogram",2,11,11,0,0,0,0,"EDI",1,2,11,11
"milligramperkilogram","milligram per kilogram",697,"milligram per kilogram",2,2,2,0,0,0,0,"EDI",1,2,2,2
"milligramperkilogram","milligramperkilogram",697,"milligramperkilogram",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"minute","minute",691,"minute",18,79,113,2,2,2,538,"EDI NEON DataOne",3,20,81,653
"minute","minutes",691,"minutes",3,6,12,0,0,0,16,"EDI DataOne",2,3,6,28
"minute","minute",691,"minute",0,0,0,0,0,0,5,"DataOne",1,0,0,5
"minute","minutes",691,"minutes",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"minute","min",691,"min",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"wpermetersquared","w/m^2",661,"w/m^2",2,32,315,0,0,0,0,"EDI",1,2,32,315
