"pseudounit","unit","GroupTotalUses","unit.1","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"expresslatitudeandlongitudegeographiccoordinatesasdecimalfractions","express latitude and longitude geographic coordinates as decimal fractions",12,"express latitude and longitude geographic coordinates as decimal fractions",1,12,12,0,0,0,0,"EDI",1,1,12,12
"doy","doy",12,"doy",0,0,0,0,0,0,7,"DataOne",1,0,0,7
"doy","doy",12,"doy",2,5,5,0,0,0,0,"EDI",1,2,5,5
"col","col",12,"col",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"cmp","cmp",12,"cmp",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"britishthermalunit","britishthermalunit",12,"britishthermalunit",0,0,0,0,0,0,8,"DataOne",1,0,0,8
"britishthermalunit","britishthermalunit",12,"britishthermalunit",1,1,4,0,0,0,0,"EDI",1,1,1,4
"becquerelpergram","becquerelpergram",12,"becquerelpergram",2,2,11,0,0,0,0,"EDI",1,2,2,11
"becquerelpergram","becquerelpergram",12,"becquerelpergram",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"arbitraryunits","arbitraryunits",12,"arbitraryunits",1,1,12,0,0,0,0,"EDI",1,1,1,12
"acu","acu",12,"acu",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"Ã¢Âµmolpermetersquaredpersecond","Ã¢Âµmol m-2 s-1",12,"Ã¢Âµmol m-2 s-1",0,0,0,0,0,0,12,"DataOne",1,0,0,12
".01foot",".01 ft",12,".01 ft",1,1,12,0,0,0,0,"EDI",1,1,1,12
"(g)sm","(g)sm",12,"(g)sm",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"(g)s","(g)s",12,"(g)s",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"(g)ms","(g)ms",12,"(g)ms",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"(g)m","(g)m",12,"(g)m",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"#pergramdrylitter","# / g dry litter",12,"# / g dry litter",1,1,12,0,0,0,0,"EDI",1,1,1,12
"-99999","-99999",12,"-99999",0,0,0,0,0,0,12,"DataOne",1,0,0,12
"waterbody","water body",11,"water body",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"usdollarsperpound","usdollarsperpound",11,"usdollarsperpound",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"unadjustedusdollarsperpound","unadjustedusdollarsperpound",11,"unadjustedusdollarsperpound",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"umoleco2per(m^2*s","umolesco2/(m^2*s",11,"umolesco2/(m^2*s",1,2,8,0,0,0,0,"EDI",1,1,2,8
"umoleco2per(m^2*s","umolesco2/(m^2*s",11,"umolesco2/(m^2*s",0,0,0,0,0,0,3,"DataOne",1,0,0,3
"u","u",11,"u",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"treeplantation","tree plantation",11,"tree plantation",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"squarecentimeterpergram","squarecentimeterspergram",11,"squarecentimeterspergram",3,4,5,0,0,0,0,"EDI",1,3,4,5
"squarecentimeterpergram","squarecentimeterpergram",11,"squarecentimeterpergram",2,2,3,0,0,0,0,"EDI",1,2,2,3
"squarecentimeterpergram","squarecentimeterspergram",11,"squarecentimeterspergram",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"squarecentimeterpergram","square centimeter per gram",11,"square centimeter per gram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"siunitofmass","si unit of mass",11,"si unit of mass",3,11,11,0,0,0,0,"EDI",1,3,11,11
"reservoir","reservoir",11,"reservoir",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"relativefluorescenceunites","relativefluorescenceunites",11,"relativefluorescenceunites",1,1,11,0,0,0,0,"EDI",1,1,1,11
"pineapple","pineapple",11,"pineapple",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"percentdrymass","% dry mass",11,"% dry mass",1,1,8,0,0,0,1,"EDI DataOne",2,1,1,9
"percentdrymass","percentdrymass",11,"percentdrymass",1,1,2,0,0,0,0,"EDI",1,1,1,2
"partperthousand(permil)","parts per thousand (per mil)",11,"parts per thousand (per mil)",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"ohm-m","ohm-m",11,"ohm-m",0,0,0,0,0,0,11,"DataOne",1,0,0,11
"numberpernauticalmilequared","numberpernauticalmilesquared",11,"numberpernauticalmilesquared",0,0,0,0,0,0,9,"DataOne",1,0,0,9
"numberpernauticalmilequared","numberpernauticalmilesquared",11,"numberpernauticalmilesquared",1,1,2,0,0,0,0,"EDI",1,1,1,2
"nanogrampermicroliter","nanogramspermicroliter",11,"nanogramspermicroliter",0,0,0,5,7,9,0,"NEON",1,5,7,9
"nanogrampermicroliter","nanogram per microliter",11,"nanogram per microliter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"nanogrampermicroliter","nanograms per microliter",11,"nanograms per microliter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"molepercubicmeter","molepercubicmeter",11,"molepercubicmeter",0,0,0,0,0,0,6,"DataOne",1,0,0,6
"molepercubicmeter","molepercubicmeter",11,"molepercubicmeter",1,2,4,0,0,0,0,"EDI",1,1,2,4
"molepercubicmeter","mole per cubic meter",11,"mole per cubic meter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"millisiemens","millisiemens",11,"millisiemens",3,3,7,0,0,0,0,"EDI",1,3,3,7
