"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AngleTime","TimeConstant_Inductance","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/TimeConstant_Inductance"
"AngleTime","VaporPermeability","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/VaporPermeability"
"AngleTime","WaterVaporDiffusionCoefficient","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/WaterVaporDiffusionCoefficient"
"AngleTime","WebTime","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/WebTime"
"AreaDensity","AreaMass","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/AreaMass"
"AreaDensity","AreicMass","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/AreicMass"
"AreaDensity","BodyMassIndex","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/BodyMassIndex"
"AreaDensity","MassPerArea","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/MassPerArea"
"AreaDensity","MeanMassRange","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/MeanMassRange"
"AreaDensity","SurfaceDensity","A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0","http://qudt.org/vocab/quantitykind/AreaDensity","http://qudt.org/vocab/quantitykind/SurfaceDensity"
"AreaMassRate","AcousticImpedance","A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0","http://qudt.org/vocab/quantitykind/AreaMassRate","http://qudt.org/vocab/quantitykind/AcousticImpedance"
